United States,Colorado,Gunnison,11/17/2022
United States,Colorado,Park,11/17/2022
United States,Colorado,Eagle,11/17/2022
United States,Colorado,Mesa,11/17/2022
United States,Colorado,Mesa,11/17/2022
United States,Colorado,Saguache,11/17/2022
United States,Colorado,Las Animas,11/17/2022
United States,Colorado,Pitkin,11/17/2022
United States,Colorado,Gunnison,11/17/2022
United States,Colorado,Mesa,11/17/2022
United States,Colorado,Mesa,11/17/2022
United States,Colorado,Chaffee,11/17/2022
United States,Colorado,Garfield,11/26/2022
United States,Nebraska,Cass,11/26/2022
United States,Montana,Flathead,11/26/2022
United States,Colorado,Moffat,11/26/2022
United States,North Carolina,Onslow,11/26/2022
United States,Colorado,Eagle,12/02/2022
United States,Colorado,Moffat,12/02/2022
United States,Nevada,White Pine,12/02/2022
United States,Minnesota,Murray,12/02/2022
United States,Indiana,Dubois,12/02/2022
United States,Texas,Stephens,12/02/2022
United States,Kansas,Clark,12/02/2022
United States,Indiana,White,12/02/2022
